scenario_id,basis,outer_id,repeat,fold,model_1,model_2,spearman_rank_correlation,kendall_rank_correlation,top3_overlap_count,top3_overlap_features
B_BMP_DM_no_DM_VS,outer_fold_heldout,2,1,2,GradientBoosting,RandomForest,0.8833333333333333,0.7222222222222222,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,3,1,3,ExtraTrees,GradientBoosting,0.7999999999999999,0.7222222222222222,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,3,1,3,ExtraTrees,RandomForest,0.6666666666666667,0.4444444444444444,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,3,1,3,GradientBoosting,RandomForest,0.7833333333333333,0.611111111111111,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,4,1,4,ExtraTrees,GradientBoosting,0.9500000000000001,0.8333333333333334,2,Carbon; Lignin
B_BMP_DM_no_DM_VS,outer_fold_heldout,4,1,4,ExtraTrees,RandomForest,0.8666666666666667,0.6666666666666666,3,Carbon; Hydrogen; Lignin
B_BMP_DM_no_DM_VS,outer_fold_heldout,4,1,4,GradientBoosting,RandomForest,0.8666666666666667,0.7222222222222222,2,Carbon; Lignin
B_BMP_DM_no_DM_VS,outer_fold_heldout,5,1,5,ExtraTrees,GradientBoosting,0.6333333333333333,0.3888888888888889,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,5,1,5,ExtraTrees,RandomForest,0.7333333333333334,0.5555555555555556,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,5,1,5,GradientBoosting,RandomForest,0.9500000000000001,0.8333333333333334,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,6,2,1,ExtraTrees,GradientBoosting,0.9,0.7777777777777778,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,6,2,1,ExtraTrees,RandomForest,0.9,0.7222222222222222,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,6,2,1,GradientBoosting,RandomForest,0.9500000000000001,0.8333333333333334,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,7,2,2,ExtraTrees,GradientBoosting,0.9333333333333332,0.8333333333333334,2,Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,7,2,2,ExtraTrees,RandomForest,0.8166666666666667,0.611111111111111,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,7,2,2,GradientBoosting,RandomForest,0.8333333333333333,0.6666666666666666,2,Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,8,2,3,ExtraTrees,GradientBoosting,0.8499999999999999,0.6666666666666666,2,Carbon; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,8,2,3,ExtraTrees,RandomForest,0.8166666666666667,0.611111111111111,2,Hydrogen; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,8,2,3,GradientBoosting,RandomForest,0.9166666666666666,0.8333333333333334,2,Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,9,2,4,ExtraTrees,GradientBoosting,0.9166666666666666,0.7777777777777778,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,9,2,4,ExtraTrees,RandomForest,0.9,0.7222222222222222,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,9,2,4,GradientBoosting,RandomForest,0.9166666666666666,0.8333333333333334,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,10,2,5,ExtraTrees,GradientBoosting,0.7166666666666667,0.5555555555555556,3,Carbon; Hydrogen; Lignin
B_BMP_DM_no_DM_VS,outer_fold_heldout,10,2,5,ExtraTrees,RandomForest,0.8333333333333333,0.6666666666666666,3,Carbon; Hydrogen; Lignin
B_BMP_DM_no_DM_VS,outer_fold_heldout,10,2,5,GradientBoosting,RandomForest,0.8833333333333333,0.7777777777777778,3,Carbon; Hydrogen; Lignin
B_BMP_DM_no_DM_VS,outer_fold_heldout,11,3,1,ExtraTrees,GradientBoosting,0.9,0.7222222222222222,2,Hydrogen; Lignin
B_BMP_DM_no_DM_VS,outer_fold_heldout,11,3,1,ExtraTrees,RandomForest,0.9500000000000001,0.8888888888888888,3,Hydrogen; Lignin; Oxygen
