scenario_id,model,basis,outer_id,repeat,fold,feature,mean_abs_shap,rank
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,Lignin,14.556306381030351,1
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,Hydrogen,7.23089507073359,2
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,DM,6.561495426454448,3
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,VS,5.63629204749085,4
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,Hemicelluloses,5.335890263400232,5
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,Carbon,5.0437163862077075,6
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,Oxygen,4.637371336407223,7
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,C/N,2.5733808609882356,8
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,Sulfur,1.7640374356650184,9
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,Nitrogen,1.6498773179501938,10
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,6,2,1,Cellulose,1.4505604243288592,11
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,Lignin,19.441580291738312,1
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,DM,12.542505832458373,2
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,Hydrogen,6.5433435841346075,3
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,Oxygen,5.230138559165709,4
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,Hemicelluloses,5.135443405945173,5
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,VS,4.619268319316541,6
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,Carbon,4.157021855188199,7
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,C/N,4.12497786757722,8
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,Cellulose,2.3901607860347918,9
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,Nitrogen,2.04327411795388,10
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,6,2,1,Sulfur,1.2319815403330514,11
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,Lignin,13.295145208504916,1
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,DM,10.05174530572441,2
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,Hydrogen,8.600705758415534,3
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,VS,5.277275005070106,4
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,Hemicelluloses,4.695767442309047,5
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,Oxygen,4.267308228550694,6
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,Carbon,4.08176439320162,7
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,Cellulose,3.706017437068163,8
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,Sulfur,2.4902162642332417,9
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,Nitrogen,2.3728211583380405,10
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,6,2,1,C/N,2.2442966252161534,11
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,Lignin,16.787784326879386,1
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,Oxygen,11.15794672306175,2
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,DM,9.999124455012085,3
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,VS,5.900581082785635,4
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,Hydrogen,5.627832686026455,5
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,Hemicelluloses,3.9125473730766562,6
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,Carbon,1.6799786024777887,7
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,C/N,1.5316492463254645,8
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,Cellulose,0.943096614110196,9
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,Sulfur,0.7480057760867129,10
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,7,2,2,Nitrogen,0.4013784856436471,11
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,Lignin,20.53210082194639,1
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,Oxygen,11.033495871907189,2
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,DM,10.178634546310484,3
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,VS,7.885800345401928,4
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,Hydrogen,6.5082393622954315,5
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,Hemicelluloses,6.262906136216502,6
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,Carbon,4.10178748386464,7
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,C/N,3.2421554356712794,8
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,Cellulose,2.6221928493587052,9
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,Nitrogen,1.3765582014084476,10
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,7,2,2,Sulfur,0.8749373168744456,11
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,Oxygen,11.625423092373023,1
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,DM,9.89013329281614,2
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,Lignin,9.729728686947656,3
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,Hydrogen,8.658352718176975,4
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,Hemicelluloses,6.558677730918555,5
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,Cellulose,5.121683151625754,6
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,VS,4.066105031989593,7
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,Carbon,3.8399924200647217,8
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,C/N,2.214270468928167,9
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,Sulfur,2.1916393687058044,10
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,7,2,2,Nitrogen,1.9380812693405818,11
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,DM,10.866288153214247,1
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,VS,8.041340642657115,2
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,Hydrogen,7.744714593740368,3
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,Lignin,6.56660813609059,4
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,Carbon,5.698922022408641,5
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,Oxygen,5.374433473710914,6
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,Hemicelluloses,3.8094281262384504,7
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,C/N,1.962133261503438,8
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,Sulfur,1.9360635724311681,9
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,Nitrogen,0.9099965482748861,10
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,8,2,3,Cellulose,0.8192315782052458,11
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,DM,19.71298834899181,1
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,Lignin,9.053354227598392,2
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,8,2,3,Hydrogen,8.230368435187263,3
