comparison_method,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
direct_BMPDM_all_features,GradientBoosting_fixed,29,6,4,25,0.6118378755252516,45.4190528166436,33.95325797827604,30.27491733107204,19.02035380130393,13.179880042785767,1.6381656132074114,18.66730618744599,25.731534417581315
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,29,6,4,25,0.676169214850133,41.484949083305494,32.97329680000003,22.901066586829735,17.37285038019117,12.03826629116056,1.7935162547570447,14.185516000000002,24.938880000000495
direct_BMPDM_all_features,ExtraTrees_fixed,29,6,4,25,0.6276967326078928,44.48155067567366,33.897226000000025,29.396752160705553,18.62775154949753,12.907831970631545,1.6726919223471954,16.420067599999967,31.118260000000248
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,30,6,5,25,0.6674340911874308,42.50329990685584,32.896038175342504,15.835500071283166,16.762337308258026,13.816594849851551,1.7698054150254814,5.814754741325856,25.136014590767843
direct_BMPDM_all_features,RF_nested_gridsearch,30,6,5,25,0.5542898646706268,49.205091136686114,37.60788492115548,17.900715622753765,19.405371741116735,15.995153559264077,1.5287558379405457,2.4182848915419326,21.170687142292707
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,30,6,5,25,0.2593335585574045,63.430059601342776,51.745437647058814,23.839733425426274,25.015376614301815,20.619279837900944,1.1859136000246338,-6.231451764705903,38.377764705882385
direct_BMPDM_all_features,Mean_baseline,30,6,5,25,-0.0001307040614582089,73.70758224925785,61.34133333333333,29.773963085386114,29.06859840402515,23.960205525967606,1.020554033060322,-0.8426133333332735,56.805333333333266
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,30,6,5,25,0.49983119316365743,52.124522224433925,41.48076065118037,18.941474774687833,20.556729135678705,16.944176261498228,1.4431320829708079,-4.622401289709287,33.81053119719144
direct_BMPDM_all_features,LinearRegression,30,6,5,25,0.47850668563970644,53.22407937254125,42.46121385649747,19.6856391547855,20.99036953175788,17.301610523377896,1.4133183930732949,-3.4077565010459643,31.16696732153781
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,30,6,5,25,0.4966282757032785,52.291150089125395,42.28003623381408,19.159971175423642,20.62244338560833,16.998342166314632,1.4385334842204778,-5.554707237518578,34.81307274660503
