scenario_id,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
D2_BMP_DM_no_VS,LinearRegression,32,7,2,26.0,0.4704433385218194,45.007706790803056,32.71236721258946,15.415874395040627,17.66144515552359,19.42432146960962,1.4013946393110683,-3.98461595605741,20.803104065208345
D2_BMP_DM_no_VS,LinearRegression,33,7,3,25.0,0.4525000765012892,46.31619241573395,36.29864307818921,16.067842973973473,18.411579870344298,17.629622795443765,1.3793432440373163,14.780725057223822,29.162501302817503
D2_BMP_DM_no_VS,LinearRegression,34,7,4,25.0,0.0936253371614939,54.51751171423724,42.93059964016496,15.289341150785349,20.058181578183394,23.960581775694294,1.072038803083569,-22.451082683253045,44.37603153995403
D2_BMP_DM_no_VS,LinearRegression,35,7,5,25.0,0.402364598802599,63.62367697665352,52.00029194859983,30.35367788887477,27.25860476255688,18.462569746191633,1.3202197516215342,10.639171360312602,44.53934158314868
D2_BMP_DM_no_VS,LinearRegression,36,8,1,26.0,-0.265333670901335,62.43070502286029,52.41826645798335,20.178740026812985,23.354477808394204,25.027743488715103,0.9065967068914715,-1.163049005435455,44.44505523741053
D2_BMP_DM_no_VS,LinearRegression,37,8,2,26.0,0.5325637373912252,43.71417853043197,33.783699441258435,16.318258224745254,17.346030529172786,18.896891250781124,1.4916106282263548,4.000925350992698,26.6522498672727
D2_BMP_DM_no_VS,LinearRegression,38,8,3,25.0,0.5711104757607124,46.27176409943953,32.77232323027736,13.69991075521299,17.97427717548811,17.60936038613512,1.5584456611512456,-7.768661733480871,23.754821552912176
D2_BMP_DM_no_VS,LinearRegression,39,8,4,25.0,0.6254783953240965,40.66770083484015,31.323037120459418,16.129029359041642,16.953329408114907,16.91492184042431,1.6677307856342654,-2.108038777905599,25.859851887633454
D2_BMP_DM_no_VS,LinearRegression,40,8,5,25.0,0.5736385244245717,49.57716631942721,40.53017775497713,29.30224967060959,20.051318746598483,14.92290285394321,1.563059121547299,7.584091362335613,35.99377769048726
D2_BMP_DM_no_VS,LinearRegression,41,9,1,26.0,0.22403849793553754,62.57163760276552,48.256375505826625,19.439252978505035,23.212667363227794,23.73770375983153,1.1577014630242908,-4.785521465505796,32.68808521477435
D2_BMP_DM_no_VS,LinearRegression,42,9,2,26.0,0.34425449764211413,46.208968437206636,40.37174322387768,15.796684397737652,17.61047880105725,19.21970195994869,1.2593574317668335,-19.548132978768432,43.01040379437181
D2_BMP_DM_no_VS,LinearRegression,43,9,3,25.0,0.3819285274086085,41.20739150748033,30.951146793399495,14.09883487183277,15.611578253350594,24.655891526045792,1.298210250663351,8.169774078769986,26.251314414184094
